colors,hymnal_id,image,top_color,rgb
"[{'color': {'red': 71, 'green': 90, 'blue': 107, 'alpha': None}, 'score': 0.1137457862496376, 'pixelFraction': 0.06341833621263504}, {'color': {'red': 111, 'green': 121, 'blue': 120, 'alpha': None}, 'score': 0.08702094852924347, 'pixelFraction': 0.09489051252603531}, {'color': {'red': 110, 'green': 125, 'blue': 98, 'alpha': None}, 'score': 0.04378221556544304, 'pixelFraction': 0.005024172831326723}, {'color': {'red': 20, 'green': 48, 'blue': 105, 'alpha': None}, 'score': 0.024511530995368958, 'pixelFraction': 0.04076215624809265}, {'color': {'red': 248, 'green': 176, 'blue': 222, 'alpha': None}, 'score': 0.002299853600561619, 'pixelFraction': 9.479571599513292e-05}, {'color': {'red': 78, 'green': 87, 'blue': 88, 'alpha': None}, 'score': 0.07296775281429291, 'pixelFraction': 0.11640913784503937}, {'color': {'red': 255, 'green': 212, 'blue': 249, 'alpha': None}, 'score': 0.000699015217833221, 'pixelFraction': 0.00018959143199026585}, {'color': {'red': 144, 'green': 159, 'blue': 162, 'alpha': None}, 'score': 0.06844654679298401, 'pixelFraction': 0.07138117402791977}, {'color': {'red': 184, 'green': 197, 'blue': 202, 'alpha': None}, 'score': 0.06664951145648956, 'pixelFraction': 0.07223433256149292}, {'color': {'red': 99, 'green': 118, 'blue': 136, 'alpha': None}, 'score': 0.06297802925109863, 'pixelFraction': 0.04189970716834068}]",48527,video_thumbnail,"{'red': 71, 'green': 90, 'blue': 107, 'alpha': None}",[ 71  90 107]
"[{'color': {'red': 112, 'green': 113, 'blue': 115, 'alpha': None}, 'score': 0.47972822189331055, 'pixelFraction': 0.38875240087509155}, {'color': {'red': 235, 'green': 230, 'blue': 215, 'alpha': None}, 'score': 0.15471504628658295, 'pixelFraction': 0.485121488571167}, {'color': {'red': 10, 'green': 11, 'blue': 10, 'alpha': None}, 'score': 0.03607010096311569, 'pixelFraction': 0.03610428795218468}, {'color': {'red': 250, 'green': 244, 'blue': 227, 'alpha': None}, 'score': 0.08514493703842163, 'pixelFraction': 0.03071253001689911}, {'color': {'red': 162, 'green': 159, 'blue': 148, 'alpha': None}, 'score': 0.08410702645778656, 'pixelFraction': 0.01242151204496622}, {'color': {'red': 198, 'green': 193, 'blue': 180, 'alpha': None}, 'score': 0.07471953332424164, 'pixelFraction': 0.018359268084168434}, {'color': {'red': 88, 'green': 87, 'blue': 82, 'alpha': None}, 'score': 0.0668850690126419, 'pixelFraction': 0.01999727077782154}, {'color': {'red': 51, 'green': 50, 'blue': 48, 'alpha': None}, 'score': 0.01863005757331848, 'pixelFraction': 0.008531258441507816}]",46397,mobile_background_image,"{'red': 112, 'green': 113, 'blue': 115, 'alpha': None}",[112 113 115]
"[{'color': {'red': 255, 'green': 203, 'blue': 39, 'alpha': None}, 'score': 0.9887282252311707, 'pixelFraction': 0.4857831299304962}, {'color': {'red': 238, 'green': 233, 'blue': 217, 'alpha': None}, 'score': 0.0025695867370814085, 'pixelFraction': 0.3674698770046234}, {'color': {'red': 116, 'green': 114, 'blue': 107, 'alpha': None}, 'score': 0.0012887644115835428, 'pixelFraction': 0.014136546291410923}, {'color': {'red': 15, 'green': 15, 'blue': 16, 'alpha': None}, 'score': 0.0008307810057885945, 'pixelFraction': 0.017429718747735023}, {'color': {'red': 199, 'green': 195, 'blue': 182, 'alpha': None}, 'score': 0.0021711415611207485, 'pixelFraction': 0.02184738963842392}, {'color': {'red': 250, 'green': 244, 'blue': 227, 'alpha': None}, 'score': 0.0017787105171009898, 'pixelFraction': 0.03357429802417755}, {'color': {'red': 152, 'green': 149, 'blue': 140, 'alpha': None}, 'score': 0.0011573189403861761, 'pixelFraction': 0.01493975892663002}, {'color': {'red': 86, 'green': 85, 'blue': 80, 'alpha': None}, 'score': 0.001050004386343062, 'pixelFraction': 0.012128514237701893}, {'color': {'red': 50, 'green': 50, 'blue': 48, 'alpha': None}, 'score': 0.0004254915111232549, 'pixelFraction': 0.007309237029403448}, {'color': {'red': 243, 'green': 223, 'blue': 165, 'alpha': None}, 'score': 1.0921489407289542e-10, 'pixelFraction': 0.011887550354003906}]",46397,desktop_background_image,"{'red': 255, 'green': 203, 'blue': 39, 'alpha': None}",[255 203  39]
"[{'color': {'red': 120, 'green': 71, 'blue': 25, 'alpha': None}, 'score': 0.08429139107465744, 'pixelFraction': 0.06408189982175827}, {'color': {'red': 208, 'green': 142, 'blue': 64, 'alpha': None}, 'score': 0.08426453173160553, 'pixelFraction': 0.12408759444952011}, {'color': {'red': 53, 'green': 14, 'blue': 1, 'alpha': None}, 'score': 0.07878176122903824, 'pixelFraction': 0.027680348604917526}, {'color': {'red': 91, 'green': 44, 'blue': 7, 'alpha': None}, 'score': 0.0784044936299324, 'pixelFraction': 0.03336809203028679}, {'color': {'red': 196, 'green': 145, 'blue': 91, 'alpha': None}, 'score': 0.07045536488294601, 'pixelFraction': 0.03640155494213104}, {'color': {'red': 158, 'green': 108, 'blue': 58, 'alpha': None}, 'score': 0.05954864248633385, 'pixelFraction': 0.04009858891367912}, {'color': {'red': 171, 'green': 108, 'blue': 34, 'alpha': None}, 'score': 0.05248866602778435, 'pixelFraction': 0.06152242049574852}, {'color': {'red': 80, 'green': 41, 'blue': 19, 'alpha': None}, 'score': 0.04503686726093292, 'pixelFraction': 0.017537206411361694}, {'color': {'red': 239, 'green': 177, 'blue': 94, 'alpha': None}, 'score': 0.043458253145217896, 'pixelFraction': 0.06066925823688507}, {'color': {'red': 233, 'green': 180, 'blue': 123, 'alpha': None}, 'score': 0.037637993693351746, 'pixelFraction': 0.024836476892232895}]",46397,video_thumbnail,"{'red': 120, 'green': 71, 'blue': 25, 'alpha': None}",[120  71  25]
"[{'color': {'red': 112, 'green': 113, 'blue': 115, 'alpha': None}, 'score': 0.47972822189331055, 'pixelFraction': 0.38875240087509155}, {'color': {'red': 235, 'green': 230, 'blue': 215, 'alpha': None}, 'score': 0.15471504628658295, 'pixelFraction': 0.485121488571167}, {'color': {'red': 10, 'green': 11, 'blue': 10, 'alpha': None}, 'score': 0.03607010096311569, 'pixelFraction': 0.03610428795218468}, {'color': {'red': 250, 'green': 244, 'blue': 227, 'alpha': None}, 'score': 0.08514493703842163, 'pixelFraction': 0.03071253001689911}, {'color': {'red': 162, 'green': 159, 'blue': 148, 'alpha': None}, 'score': 0.08410702645778656, 'pixelFraction': 0.01242151204496622}, {'color': {'red': 198, 'green': 193, 'blue': 180, 'alpha': None}, 'score': 0.07471953332424164, 'pixelFraction': 0.018359268084168434}, {'color': {'red': 88, 'green': 87, 'blue': 82, 'alpha': None}, 'score': 0.0668850690126419, 'pixelFraction': 0.01999727077782154}, {'color': {'red': 51, 'green': 50, 'blue': 48, 'alpha': None}, 'score': 0.01863005757331848, 'pixelFraction': 0.008531258441507816}]",46396,mobile_background_image,"{'red': 112, 'green': 113, 'blue': 115, 'alpha': None}",[112 113 115]
"[{'color': {'red': 255, 'green': 203, 'blue': 39, 'alpha': None}, 'score': 0.9887282252311707, 'pixelFraction': 0.4857831299304962}, {'color': {'red': 238, 'green': 233, 'blue': 217, 'alpha': None}, 'score': 0.0025695867370814085, 'pixelFraction': 0.3674698770046234}, {'color': {'red': 116, 'green': 114, 'blue': 107, 'alpha': None}, 'score': 0.0012887644115835428, 'pixelFraction': 0.014136546291410923}, {'color': {'red': 15, 'green': 15, 'blue': 16, 'alpha': None}, 'score': 0.0008307810057885945, 'pixelFraction': 0.017429718747735023}, {'color': {'red': 199, 'green': 195, 'blue': 182, 'alpha': None}, 'score': 0.0021711415611207485, 'pixelFraction': 0.02184738963842392}, {'color': {'red': 250, 'green': 244, 'blue': 227, 'alpha': None}, 'score': 0.0017787105171009898, 'pixelFraction': 0.03357429802417755}, {'color': {'red': 152, 'green': 149, 'blue': 140, 'alpha': None}, 'score': 0.0011573189403861761, 'pixelFraction': 0.01493975892663002}, {'color': {'red': 86, 'green': 85, 'blue': 80, 'alpha': None}, 'score': 0.001050004386343062, 'pixelFraction': 0.012128514237701893}, {'color': {'red': 50, 'green': 50, 'blue': 48, 'alpha': None}, 'score': 0.0004254915111232549, 'pixelFraction': 0.007309237029403448}, {'color': {'red': 243, 'green': 223, 'blue': 165, 'alpha': None}, 'score': 1.0921489407289542e-10, 'pixelFraction': 0.011887550354003906}]",46396,desktop_background_image,"{'red': 255, 'green': 203, 'blue': 39, 'alpha': None}",[255 203  39]
"[{'color': {'red': 120, 'green': 71, 'blue': 25, 'alpha': None}, 'score': 0.08429139107465744, 'pixelFraction': 0.06408189982175827}, {'color': {'red': 208, 'green': 142, 'blue': 64, 'alpha': None}, 'score': 0.08426453173160553, 'pixelFraction': 0.12408759444952011}, {'color': {'red': 53, 'green': 14, 'blue': 1, 'alpha': None}, 'score': 0.07878176122903824, 'pixelFraction': 0.027680348604917526}, {'color': {'red': 91, 'green': 44, 'blue': 7, 'alpha': None}, 'score': 0.0784044936299324, 'pixelFraction': 0.03336809203028679}, {'color': {'red': 196, 'green': 145, 'blue': 91, 'alpha': None}, 'score': 0.07045536488294601, 'pixelFraction': 0.03640155494213104}, {'color': {'red': 158, 'green': 108, 'blue': 58, 'alpha': None}, 'score': 0.05954864248633385, 'pixelFraction': 0.04009858891367912}, {'color': {'red': 171, 'green': 108, 'blue': 34, 'alpha': None}, 'score': 0.05248866602778435, 'pixelFraction': 0.06152242049574852}, {'color': {'red': 80, 'green': 41, 'blue': 19, 'alpha': None}, 'score': 0.04503686726093292, 'pixelFraction': 0.017537206411361694}, {'color': {'red': 239, 'green': 177, 'blue': 94, 'alpha': None}, 'score': 0.043458253145217896, 'pixelFraction': 0.06066925823688507}, {'color': {'red': 233, 'green': 180, 'blue': 123, 'alpha': None}, 'score': 0.037637993693351746, 'pixelFraction': 0.024836476892232895}]",46396,video_thumbnail,"{'red': 120, 'green': 71, 'blue': 25, 'alpha': None}",[120  71  25]
"[{'color': {'red': 14, 'green': 6, 'blue': 5, 'alpha': None}, 'score': 0.2616128623485565, 'pixelFraction': 0.4279279410839081}, {'color': {'red': 19, 'green': 125, 'blue': 17, 'alpha': None}, 'score': 0.1773558259010315, 'pixelFraction': 0.06033306196331978}, {'color': {'red': 96, 'green': 25, 'blue': 30, 'alpha': None}, 'score': 0.034650105983018875, 'pixelFraction': 0.044976793229579926}, {'color': {'red': 26, 'green': 101, 'blue': 22, 'alpha': None}, 'score': 0.03435339033603668, 'pixelFraction': 0.012762762606143951}, {'color': {'red': 249, 'green': 244, 'blue': 244, 'alpha': None}, 'score': 0.023736417293548584, 'pixelFraction': 0.03992629051208496}, {'color': {'red': 139, 'green': 214, 'blue': 136, 'alpha': None}, 'score': 0.011393561027944088, 'pixelFraction': 0.0037537538446485996}, {'color': {'red': 244, 'green': 122, 'blue': 132, 'alpha': None}, 'score': 0.008247703313827515, 'pixelFraction': 0.008394758217036724}, {'color': {'red': 223, 'green': 185, 'blue': 193, 'alpha': None}, 'score': 0.007078917231410742, 'pixelFraction': 0.007098007015883923}, {'color': {'red': 254, 'green': 156, 'blue': 161, 'alpha': None}, 'score': 0.004310798831284046, 'pixelFraction': 0.006893256679177284}, {'color': {'red': 154, 'green': 33, 'blue': 29, 'alpha': None}, 'score': 0.0030851750634610653, 'pixelFraction': 0.009828009642660618}]",49007,mobile_background_image,"{'red': 14, 'green': 6, 'blue': 5, 'alpha': None}",[14  6  5]
"[{'color': {'red': 14, 'green': 125, 'blue': 18, 'alpha': None}, 'score': 0.3409266173839569, 'pixelFraction': 0.13397590816020966}, {'color': {'red': 18, 'green': 8, 'blue': 8, 'alpha': None}, 'score': 0.1847802698612213, 'pixelFraction': 0.3566265106201172}, {'color': {'red': 24, 'green': 96, 'blue': 25, 'alpha': None}, 'score': 0.03800611570477486, 'pixelFraction': 0.01783132553100586}, {'color': {'red': 137, 'green': 215, 'blue': 137, 'alpha': None}, 'score': 0.009364625439047813, 'pixelFraction': 0.00401606410741806}, {'color': {'red': 249, 'green': 242, 'blue': 240, 'alpha': None}, 'score': 0.008805474266409874, 'pixelFraction': 0.018795181065797806}, {'color': {'red': 246, 'green': 119, 'blue': 130, 'alpha': None}, 'score': 0.0028401007875800133, 'pixelFraction': 0.004899598192423582}, {'color': {'red': 164, 'green': 156, 'blue': 156, 'alpha': None}, 'score': 0.0025659576058387756, 'pixelFraction': 0.005381525959819555}, {'color': {'red': 69, 'green': 60, 'blue': 5, 'alpha': None}, 'score': 0.0017720198957249522, 'pixelFraction': 0.0011244979687035084}, {'color': {'red': 253, 'green': 160, 'blue': 164, 'alpha': None}, 'score': 0.001732346718199551, 'pixelFraction': 0.0034538153558969498}, {'color': {'red': 207, 'green': 238, 'blue': 199, 'alpha': None}, 'score': 0.0016615013591945171, 'pixelFraction': 0.0009638554183766246}]",49007,desktop_background_image,"{'red': 14, 'green': 125, 'blue': 18, 'alpha': None}",[ 14 125  18]
"[{'color': {'red': 244, 'green': 246, 'blue': 248, 'alpha': None}, 'score': 0.32119399309158325, 'pixelFraction': 0.028723102062940598}, {'color': {'red': 84, 'green': 85, 'blue': 93, 'alpha': None}, 'score': 0.15432856976985931, 'pixelFraction': 0.09991468489170074}, {'color': {'red': 150, 'green': 150, 'blue': 158, 'alpha': None}, 'score': 0.10507259517908096, 'pixelFraction': 0.01706322841346264}, {'color': {'red': 51, 'green': 52, 'blue': 62, 'alpha': None}, 'score': 0.12143925577402115, 'pixelFraction': 0.18143899738788605}, {'color': {'red': 46, 'green': 50, 'blue': 66, 'alpha': None}, 'score': 0.08839724212884903, 'pixelFraction': 0.043132051825523376}, {'color': {'red': 116, 'green': 117, 'blue': 124, 'alpha': None}, 'score': 0.0815734937787056, 'pixelFraction': 0.028628306463360786}, {'color': {'red': 199, 'green': 201, 'blue': 207, 'alpha': None}, 'score': 0.05693677067756653, 'pixelFraction': 0.008721205405890942}, {'color': {'red': 27, 'green': 27, 'blue': 37, 'alpha': None}, 'score': 0.0271510798484087, 'pixelFraction': 0.46061238646507263}, {'color': {'red': 29, 'green': 32, 'blue': 47, 'alpha': None}, 'score': 0.018639173358678818, 'pixelFraction': 0.05905773118138313}, {'color': {'red': 73, 'green': 77, 'blue': 93, 'alpha': None}, 'score': 0.015072369016706944, 'pixelFraction': 0.002938667079433799}]",49007,video_thumbnail,"{'red': 244, 'green': 246, 'blue': 248, 'alpha': None}",[244 246 248]
"[{'color': {'red': 14, 'green': 6, 'blue': 5, 'alpha': None}, 'score': 0.2616128623485565, 'pixelFraction': 0.4279279410839081}, {'color': {'red': 19, 'green': 125, 'blue': 17, 'alpha': None}, 'score': 0.1773558259010315, 'pixelFraction': 0.06033306196331978}, {'color': {'red': 96, 'green': 25, 'blue': 30, 'alpha': None}, 'score': 0.034650105983018875, 'pixelFraction': 0.044976793229579926}, {'color': {'red': 26, 'green': 101, 'blue': 22, 'alpha': None}, 'score': 0.03435339033603668, 'pixelFraction': 0.012762762606143951}, {'color': {'red': 249, 'green': 244, 'blue': 244, 'alpha': None}, 'score': 0.023736417293548584, 'pixelFraction': 0.03992629051208496}, {'color': {'red': 139, 'green': 214, 'blue': 136, 'alpha': None}, 'score': 0.011393561027944088, 'pixelFraction': 0.0037537538446485996}, {'color': {'red': 244, 'green': 122, 'blue': 132, 'alpha': None}, 'score': 0.008247703313827515, 'pixelFraction': 0.008394758217036724}, {'color': {'red': 223, 'green': 185, 'blue': 193, 'alpha': None}, 'score': 0.007078917231410742, 'pixelFraction': 0.007098007015883923}, {'color': {'red': 254, 'green': 156, 'blue': 161, 'alpha': None}, 'score': 0.004310798831284046, 'pixelFraction': 0.006893256679177284}, {'color': {'red': 154, 'green': 33, 'blue': 29, 'alpha': None}, 'score': 0.0030851750634610653, 'pixelFraction': 0.009828009642660618}]",49006,mobile_background_image,"{'red': 14, 'green': 6, 'blue': 5, 'alpha': None}",[14  6  5]
"[{'color': {'red': 14, 'green': 125, 'blue': 18, 'alpha': None}, 'score': 0.3409266173839569, 'pixelFraction': 0.13397590816020966}, {'color': {'red': 18, 'green': 8, 'blue': 8, 'alpha': None}, 'score': 0.1847802698612213, 'pixelFraction': 0.3566265106201172}, {'color': {'red': 24, 'green': 96, 'blue': 25, 'alpha': None}, 'score': 0.03800611570477486, 'pixelFraction': 0.01783132553100586}, {'color': {'red': 137, 'green': 215, 'blue': 137, 'alpha': None}, 'score': 0.009364625439047813, 'pixelFraction': 0.00401606410741806}, {'color': {'red': 249, 'green': 242, 'blue': 240, 'alpha': None}, 'score': 0.008805474266409874, 'pixelFraction': 0.018795181065797806}, {'color': {'red': 246, 'green': 119, 'blue': 130, 'alpha': None}, 'score': 0.0028401007875800133, 'pixelFraction': 0.004899598192423582}, {'color': {'red': 164, 'green': 156, 'blue': 156, 'alpha': None}, 'score': 0.0025659576058387756, 'pixelFraction': 0.005381525959819555}, {'color': {'red': 69, 'green': 60, 'blue': 5, 'alpha': None}, 'score': 0.0017720198957249522, 'pixelFraction': 0.0011244979687035084}, {'color': {'red': 253, 'green': 160, 'blue': 164, 'alpha': None}, 'score': 0.001732346718199551, 'pixelFraction': 0.0034538153558969498}, {'color': {'red': 207, 'green': 238, 'blue': 199, 'alpha': None}, 'score': 0.0016615013591945171, 'pixelFraction': 0.0009638554183766246}]",49006,desktop_background_image,"{'red': 14, 'green': 125, 'blue': 18, 'alpha': None}",[ 14 125  18]
"[{'color': {'red': 244, 'green': 246, 'blue': 248, 'alpha': None}, 'score': 0.32119399309158325, 'pixelFraction': 0.028723102062940598}, {'color': {'red': 84, 'green': 85, 'blue': 93, 'alpha': None}, 'score': 0.15432856976985931, 'pixelFraction': 0.09991468489170074}, {'color': {'red': 150, 'green': 150, 'blue': 158, 'alpha': None}, 'score': 0.10507259517908096, 'pixelFraction': 0.01706322841346264}, {'color': {'red': 51, 'green': 52, 'blue': 62, 'alpha': None}, 'score': 0.12143925577402115, 'pixelFraction': 0.18143899738788605}, {'color': {'red': 46, 'green': 50, 'blue': 66, 'alpha': None}, 'score': 0.08839724212884903, 'pixelFraction': 0.043132051825523376}, {'color': {'red': 116, 'green': 117, 'blue': 124, 'alpha': None}, 'score': 0.0815734937787056, 'pixelFraction': 0.028628306463360786}, {'color': {'red': 199, 'green': 201, 'blue': 207, 'alpha': None}, 'score': 0.05693677067756653, 'pixelFraction': 0.008721205405890942}, {'color': {'red': 27, 'green': 27, 'blue': 37, 'alpha': None}, 'score': 0.0271510798484087, 'pixelFraction': 0.46061238646507263}, {'color': {'red': 29, 'green': 32, 'blue': 47, 'alpha': None}, 'score': 0.018639173358678818, 'pixelFraction': 0.05905773118138313}, {'color': {'red': 73, 'green': 77, 'blue': 93, 'alpha': None}, 'score': 0.015072369016706944, 'pixelFraction': 0.002938667079433799}]",49006,video_thumbnail,"{'red': 244, 'green': 246, 'blue': 248, 'alpha': None}",[244 246 248]
"[{'color': {'red': 208, 'green': 5, 'blue': 22, 'alpha': None}, 'score': 0.43922844529151917, 'pixelFraction': 0.011084337718784809}, {'color': {'red': 155, 'green': 4, 'blue': 15, 'alpha': None}, 'score': 0.1532779186964035, 'pixelFraction': 0.006104417610913515}, {'color': {'red': 253, 'green': 252, 'blue': 252, 'alpha': None}, 'score': 0.11214321106672287, 'pixelFraction': 0.7791967988014221}, {'color': {'red': 207, 'green': 83, 'blue': 92, 'alpha': None}, 'score': 0.05444535240530968, 'pixelFraction': 0.0024096386041492224}, {'color': {'red': 10, 'green': 10, 'blue': 10, 'alpha': None}, 'score': 0.013006155379116535, 'pixelFraction': 0.00947791151702404}, {'color': {'red': 223, 'green': 119, 'blue': 127, 'alpha': None}, 'score': 0.012402240186929703, 'pixelFraction': 0.0006425702595151961}, {'color': {'red': 125, 'green': 125, 'blue': 125, 'alpha': None}, 'score': 0.010791651904582977, 'pixelFraction': 0.010682730935513973}, {'color': {'red': 243, 'green': 229, 'blue': 164, 'alpha': None}, 'score': 0.0016509220004081726, 'pixelFraction': 0.018313253298401833}, {'color': {'red': 224, 'green': 196, 'blue': 98, 'alpha': None}, 'score': 0.001525981118902564, 'pixelFraction': 0.021204819902777672}, {'color': {'red': 188, 'green': 1, 'blue': 16, 'alpha': None}, 'score': 0.078946053981781, 'pixelFraction': 0.0025702810380607843}]",45947,large_main_image,"{'red': 208, 'green': 5, 'blue': 22, 'alpha': None}",[208   5  22]
"[{'color': {'red': 207, 'green': 4, 'blue': 21, 'alpha': None}, 'score': 0.2601269483566284, 'pixelFraction': 0.008190007880330086}, {'color': {'red': 253, 'green': 253, 'blue': 253, 'alpha': None}, 'score': 0.2015269547700882, 'pixelFraction': 0.8213213086128235}, {'color': {'red': 132, 'green': 11, 'blue': 16, 'alpha': None}, 'score': 0.11593863368034363, 'pixelFraction': 0.005323505494743586}, {'color': {'red': 211, 'green': 86, 'blue': 95, 'alpha': None}, 'score': 0.04482242465019226, 'pixelFraction': 0.0021157520823180676}, {'color': {'red': 11, 'green': 11, 'blue': 11, 'alpha': None}, 'score': 0.014061467722058296, 'pixelFraction': 0.010442260652780533}, {'color': {'red': 121, 'green': 121, 'blue': 121, 'alpha': None}, 'score': 0.012481174431741238, 'pixelFraction': 0.011193010956048965}, {'color': {'red': 223, 'green': 127, 'blue': 135, 'alpha': None}, 'score': 0.006467628758400679, 'pixelFraction': 0.0007507507689297199}, {'color': {'red': 237, 'green': 159, 'blue': 166, 'alpha': None}, 'score': 0.0027467322070151567, 'pixelFraction': 0.0002730002743192017}, {'color': {'red': 244, 'green': 224, 'blue': 125, 'alpha': None}, 'score': 0.002711281646043062, 'pixelFraction': 0.02300027385354042}, {'color': {'red': 193, 'green': 0, 'blue': 14, 'alpha': None}, 'score': 0.16254523396492004, 'pixelFraction': 0.004982254933565855}]",45947,small_main_image,"{'red': 207, 'green': 4, 'blue': 21, 'alpha': None}",[207   4  21]
"[{'color': {'red': 194, 'green': 193, 'blue': 198, 'alpha': None}, 'score': 0.4892004430294037, 'pixelFraction': 0.26380953192710876}, {'color': {'red': 95, 'green': 94, 'blue': 96, 'alpha': None}, 'score': 0.008014574646949768, 'pixelFraction': 0.006428571417927742}, {'color': {'red': 3, 'green': 2, 'blue': 4, 'alpha': None}, 'score': 0.004454373382031918, 'pixelFraction': 0.5361111164093018}, {'color': {'red': 223, 'green': 222, 'blue': 223, 'alpha': None}, 'score': 0.34616920351982117, 'pixelFraction': 0.13984127342700958}, {'color': {'red': 163, 'green': 162, 'blue': 169, 'alpha': None}, 'score': 0.13619856536388397, 'pixelFraction': 0.046666666865348816}, {'color': {'red': 103, 'green': 96, 'blue': 127, 'alpha': None}, 'score': 0.00069465022534132, 'pixelFraction': 7.936507608974352e-05}, {'color': {'red': 126, 'green': 124, 'blue': 133, 'alpha': None}, 'score': 0.006318559870123863, 'pixelFraction': 0.0017460316885262728}, {'color': {'red': 119, 'green': 114, 'blue': 139, 'alpha': None}, 'score': 0.0049344077706336975, 'pixelFraction': 0.0007142857066355646}, {'color': {'red': 158, 'green': 153, 'blue': 175, 'alpha': None}, 'score': 0.003103594994172454, 'pixelFraction': 0.0005555555690079927}, {'color': {'red': 185, 'green': 180, 'blue': 201, 'alpha': None}, 'score': 0.0009116216679103673, 'pixelFraction': 0.00015873015217948705}]",48601,video_thumbnail,"{'red': 194, 'green': 193, 'blue': 198, 'alpha': None}",[194 193 198]
"[{'color': {'red': 33, 'green': 92, 'blue': 137, 'alpha': None}, 'score': 0.44334182143211365, 'pixelFraction': 0.061625875532627106}, {'color': {'red': 245, 'green': 246, 'blue': 248, 'alpha': None}, 'score': 0.11975593864917755, 'pixelFraction': 0.7347028255462646}, {'color': {'red': 83, 'green': 129, 'blue': 162, 'alpha': None}, 'score': 0.07424520701169968, 'pixelFraction': 0.024475524201989174}, {'color': {'red': 229, 'green': 133, 'blue': 127, 'alpha': None}, 'score': 0.007921570912003517, 'pixelFraction': 0.0061188810504972935}, {'color': {'red': 233, 'green': 111, 'blue': 104, 'alpha': None}, 'score': 0.0019449458923190832, 'pixelFraction': 0.0013111887965351343}, {'color': {'red': 0, 'green': 59, 'blue': 112, 'alpha': None}, 'score': 0.14597581326961517, 'pixelFraction': 0.021416084840893745}, {'color': {'red': 125, 'green': 160, 'blue': 186, 'alpha': None}, 'score': 0.07418937236070633, 'pixelFraction': 0.031031468883156776}, {'color': {'red': 193, 'green': 208, 'blue': 220, 'alpha': None}, 'score': 0.040821779519319534, 'pixelFraction': 0.0279720276594162}, {'color': {'red': 64, 'green': 118, 'blue': 158, 'alpha': None}, 'score': 0.031978506594896317, 'pixelFraction': 0.010052447207272053}, {'color': {'red': 163, 'green': 186, 'blue': 203, 'alpha': None}, 'score': 0.027723517268896103, 'pixelFraction': 0.028846153989434242}]",46618,sponsored_logo,"{'red': 33, 'green': 92, 'blue': 137, 'alpha': None}",[ 33  92 137]
"[{'color': {'red': 88, 'green': 105, 'blue': 198, 'alpha': None}, 'score': 0.2281521111726761, 'pixelFraction': 0.0358293391764164}, {'color': {'red': 196, 'green': 200, 'blue': 210, 'alpha': None}, 'score': 0.054181769490242004, 'pixelFraction': 0.023571934551000595}, {'color': {'red': 104, 'green': 86, 'blue': 82, 'alpha': None}, 'score': 0.012286750599741936, 'pixelFraction': 0.05790838226675987}, {'color': {'red': 63, 'green': 79, 'blue': 170, 'alpha': None}, 'score': 0.22217459976673126, 'pixelFraction': 0.35467901825904846}, {'color': {'red': 104, 'green': 115, 'blue': 176, 'alpha': None}, 'score': 0.18400870263576508, 'pixelFraction': 0.03700793534517288}, {'color': {'red': 187, 'green': 195, 'blue': 224, 'alpha': None}, 'score': 0.036753393709659576, 'pixelFraction': 0.009428773075342178}, {'color': {'red': 132, 'green': 142, 'blue': 203, 'alpha': None}, 'score': 0.03327764570713043, 'pixelFraction': 0.005657264031469822}, {'color': {'red': 79, 'green': 87, 'blue': 150, 'alpha': None}, 'score': 0.030733304098248482, 'pixelFraction': 0.009664492681622505}, {'color': {'red': 219, 'green': 224, 'blue': 234, 'alpha': None}, 'score': 0.02716369740664959, 'pixelFraction': 0.011864540167152882}, {'color': {'red': 215, 'green': 223, 'blue': 249, 'alpha': None}, 'score': 0.0248994342982769, 'pixelFraction': 0.006600141525268555}]",46618,thumbnail,"{'red': 88, 'green': 105, 'blue': 198, 'alpha': None}",[ 88 105 198]
"[{'color': {'red': 22, 'green': 86, 'blue': 133, 'alpha': None}, 'score': 0.3174910545349121, 'pixelFraction': 0.04447632655501366}, {'color': {'red': 224, 'green': 232, 'blue': 238, 'alpha': None}, 'score': 0.037778325378894806, 'pixelFraction': 0.6979913711547852}, {'color': {'red': 24, 'green': 171, 'blue': 225, 'alpha': None}, 'score': 0.003393221413716674, 'pixelFraction': 0.0007173601188696921}, {'color': {'red': 56, 'green': 113, 'blue': 154, 'alpha': None}, 'score': 0.1806582510471344, 'pixelFraction': 0.02223816327750683}, {'color': {'red': 81, 'green': 129, 'blue': 165, 'alpha': None}, 'score': 0.17132270336151123, 'pixelFraction': 0.03156384453177452}, {'color': {'red': 128, 'green': 162, 'blue': 188, 'alpha': None}, 'score': 0.14019885659217834, 'pixelFraction': 0.05954089015722275}, {'color': {'red': 170, 'green': 192, 'blue': 210, 'alpha': None}, 'score': 0.08539064973592758, 'pixelFraction': 0.04878048598766327}, {'color': {'red': 0, 'green': 63, 'blue': 119, 'alpha': None}, 'score': 0.03696523979306221, 'pixelFraction': 0.004304160829633474}, {'color': {'red': 194, 'green': 209, 'blue': 221, 'alpha': None}, 'score': 0.020533179864287376, 'pixelFraction': 0.02223816327750683}, {'color': {'red': 101, 'green': 162, 'blue': 195, 'alpha': None}, 'score': 0.0029880953952670097, 'pixelFraction': 0.002152080414816737}]",46619,logo,"{'red': 22, 'green': 86, 'blue': 133, 'alpha': None}",[ 22  86 133]
